EMPRESA,LINHA,NOME,ROTA
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,RUA SERRA DA JUREMA
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,SERRA DE CARAJAS
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,RUA RIO GRAMAME
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,RUA RIO TAMANDUATEI
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,RUA ALGAROBA
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,RUA MONTE DAS GAMELEIRAS
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,RUA OITI
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,RUA CIDADE DO SOL
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,MARGINAL DA BR-101 (SAIDA DA LOCALIZA)
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,BR 101
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,MARGINAL DA BR 101 (ENTRADA DE MIRASSOL)
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,VIADUTO DA UFRN
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,MARGINAL DA BR 101
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,VIADUTO DO 4º CENTENÁRIO
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,AV LIMA E SILVA
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,AV. PRUDENTE DE MORAIS
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,AV. NILO PEÇANHA
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,RUA GENERAL CORDEIRO DE FARIAS
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,PRAÇA CAPITÃO JOSÉ DA PENHA
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,RUA GENERAL GLICÉRIO
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,RUA ALMINO AFONSO
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,RUA PEREIRA SIMÕES
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,RUA DO AREAL
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,RUA PEDRO AFONSO
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,RUA RODRIGUES DIAS
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,RUA 25 DE DEZEMBRO
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,RUA DO MOTOR
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,RUA FABRICIO PEDROZA
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,AV GOVERNADOR SILVIO PEDROZA
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,AV. SENADOR DINARTE MARIZ
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,R JOAO XXIII
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,RUA TRAIRI
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,AV. HERMES DA FONSÊCA
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,RUA CORONEL JOAQUIM MANOEL
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,AV. NILO PEÇANHA
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,AV. PRUDENTE DE MORAIS
